country,unit,prod_2020,share_pct,mineral,iso_code,continent
Sierra Leone,metr. t,1342139,0.3541061096129691,Bauxite,SLE,Africa
Ghana,metr. t,1162086,0.3066014417997665,Bauxite,GHA,Africa
Iran,metr. t,1042325,0.2750040425785541,Bauxite,IRN,Asia
Solomon Islands,metr. t,841890,0.2221218462633621,Bauxite,SLB,Oceania
Montenegro,metr. t,791813,0.20890967401362592,Bauxite,MNE,Europe
Bosnia-Herzegovina,metr. t,619748,0.16351253724123832,Bauxite,BIH,Europe
Guyana,metr. t,595943,0.15723189422338643,Bauxite,GUY,America
Malaysia,metr. t,594715,0.15690790222061718,Bauxite,MYS,Asia
Cote d'Ivoire,metr. t,272295,0.07184153289418117,Bauxite,CIV,Africa
France,metr. t,124000,0.03271580483989227,Bauxite,FRA,Europe
Pakistan,metr. t,101047,0.026659951061746727,Bauxite,PAK,Asia
Tanzania,metr. t,25995,0.006858446345266125,Bauxite,TZA,Africa
United States,metr. t,16440,0.004337482512643781,Bauxite,USA,America
Croatia,metr. t,14084,0.0037158822206858283,Bauxite,HRV,Europe
Colombia,metr. t,9595,0.002531517318054567,Bauxite,COL,America
Dominican Republic,metr. t,9475,0.002499856861757897,Bauxite,DOM,America
Mozambique,metr. t,6491,0.001712566848514038,Bauxite,MOZ,Africa
South Africa,metr. t,5983000,31.037589254468077,Manganese,ZAF,Africa
Gabon,metr. t,3709100,19.241437791032517,Manganese,GAB,Africa
Australia,metr. t,3356030,17.409841328041534,Manganese,AUS,Oceania
China,metr. t,1218000,6.318533129189724,Manganese,CHN,Asia
India,metr. t,848100,4.399628856211662,Manganese,IND,Asia
Ghana,metr. t,825130,4.280468999087288,Manganese,GHA,Africa
Ukraine,metr. t,698500,3.6235594341042874,Manganese,UKR,Europe
Cote d'Ivoire,metr. t,530200,2.750481334233491,Manganese,CIV,Africa
Brazil,metr. t,493601,2.5606192701980106,Manganese,BRA,America
Malaysia,metr. t,362700,1.8815533382242307,Manganese,MYS,Asia
Mexico,metr. t,258045,1.3386419386878181,Manganese,MEX,America
Myanmar,metr. t,254000,1.3176579760379228,Manganese,MMR,Asia
Georgia,metr. t,180900,0.9384422356900008,Manganese,GEO,Asia
Kazakhstan,metr. t,164300,0.852327580563113,Manganese,KAZ,Asia
Vietnam,metr. t,121000,0.6277032090574356,Manganese,VNM,Asia
Iran,metr. t,63580,0.32982950439563435,Manganese,IRN,Asia
Morocco,metr. t,42050,0.21813983422202618,Manganese,MAR,Africa
Turkey,metr. t,35600,0.18467962183838602,Manganese,TUR,Asia
Russia,metr. t,28200,0.14629116111917095,Manganese,RUS,Europe
Indonesia,metr. t,23500,0.12190930093264246,Manganese,IDN,Asia
Kenya,metr. t,13600,0.070551765646125,Manganese,KEN,Africa
Zambia,metr. t,12220,0.06339283648497408,Manganese,ZMB,Africa
Peru,metr. t,10120,0.052498813848440073,Manganese,PER,America
Namibia,metr. t,10010,0.051928174567478766,Manganese,NAM,Africa
Romania,metr. t,8450,0.04383547203748207,Manganese,ROU,Europe
Senegal,metr. t,6580,0.034134604261139886,Manganese,SEN,Africa
Nigeria,metr. t,5850,0.03034763448748759,Manganese,NGA,Africa
Egypt,metr. t,5300,0.027494438082681066,Manganese,EGY,Africa
Bolivia,metr. t,4710,0.024433736484797703,Manganese,BOL,America
Oman,metr. t,2180,0.011309033022687683,Manganese,OMN,Asia
"Congo, Dem. Rep.",metr. t,1000,0.005187629826920955,Manganese,COD,Africa
Thailand,metr. t,670,0.0034757119840370405,Manganese,THA,Asia
Pakistan,metr. t,400,0.002075051930768382,Manganese,PAK,Asia
