iso_code,cooking,electricity,country_name,continent,gdp_per_capita,population,population_annotation
IRN,96.1,100.0,Iran,Asia,20261.01,85028760.0,85.03
IRQ,99.0,100.0,Iraq,Asia,7038.24,41179351.0,41.18
ISL,100.0,100.0,Iceland,Europe,74417.38,372295.0,0.37
ISR,100.0,100.0,Israel,Asia,54688.3,9364000.0,9.36
ITA,100.0,100.0,Italy,Europe,34777.09,59066225.0,59.07
JAM,82.7,100.0,Jamaica,America,5730.4,2973462.0,2.97
JOR,99.9,99.9,Jordan,Asia,4635.07,10269022.0,10.27
JPN,100.0,100.0,Japan,Asia,39243.37,125681593.0,125.68
KAZ,92.7,100.0,Kazakhstan,Asia,10003.12,19002586.0,19.0
KEN,19.5,71.44,Kenya,Africa,2251.98,54985702.0,54.99
KGZ,76.6,99.98,Kyrgyz Republic,Asia,1327.01,6694200.0,6.69
KHM,36.8,86.4,Cambodia,Asia,1751.98,16946446.0,16.95
KIR,9.9,91.96,Kiribati,Oceania,1745.09,121388.0,0.12
KNA,100.0,100.0,St. Kitts and Nevis,America,19117.11,53546.0,0.05
KOR,100.0,100.0,South Korea,Asia,34994.2,51744876.0,51.74
KWT,100.0,100.0,Kuwait,Asia,38755.06,4328553.0,4.33
LAO,8.5,100.0,Laos,Asia,2318.82,7379358.0,7.38
LBN,,100.0,Lebanon,Asia,4002.74,6769151.0,6.77
LBR,0.4,27.53,Liberia,Africa,776.35,5180208.0,5.18
LBY,,69.71,Libya,Africa,7196.79,6958538.0,6.96
LCA,94.3,100.0,St. Lucia,America,11363.75,184401.0,0.18
LIE,,100.0,Liechtenstein,Europe,,38254.0,0.04
LKA,32.2,100.0,Sri Lanka,Asia,3698.56,22156000.0,22.16
LSO,40.1,47.35,Lesotho,Africa,1212.57,2159067.0,2.16
LTU,100.0,100.0,Lithuania,Europe,25015.37,2795321.0,2.8
LUX,100.0,100.0,Luxembourg,Europe,135045.82,639070.0,0.64
LVA,100.0,100.0,Latvia,Europe,21311.15,1883162.0,1.88
MAC,,100.0,Macau,Asia,50577.67,658391.0,0.66
MAF,,100.0,Saint-Martin,America,,39239.0,0.04
MAR,98.1,100.0,Morocco,Africa,3628.64,37344787.0,37.34
MCO,100.0,100.0,Monaco,Europe,,39520.0,0.04
MDA,95.8,100.0,Moldova,Europe,5435.45,2573928.0,2.57
MDG,1.0,33.74,Madagascar,Africa,504.31,28427333.0,28.43
MDV,99.2,100.0,Maldives,Asia,14078.42,543620.0,0.54
MEX,84.9,99.4,Mexico,America,10165.67,130262220.0,130.26
MHL,63.9,99.16,Marshall Islands,Oceania,4755.73,59618.0,0.06
MKD,78.1,100.0,Macedonia,Europe,6862.72,2065092.0,2.07
MLI,0.900000000000001,50.56,Mali,Africa,896.58,20855724.0,20.86
MLT,100.0,100.0,Malta,Europe,33094.28,516869.0,0.52
MMR,31.25,70.4,Myanmar,Asia,1285.34,54806014.0,54.81
MNE,62.4,100.0,Montenegro,Europe,9673.5,620173.0,0.62
MNG,51.8,98.1,Mongolia,Asia,5205.96,3329282.0,3.33
MNP,,100.0,Northern Mariana Islands,Oceania,,57910.0,0.06
